[01:22:53][INFO] mutation-deterministic: [ADV-DETERMINISTIC] Using forced seeds => A=/home/dhia/browser-fuzzer/Dissertation/tests/testing_seeds/combined/complex/trigger2.html, B=/home/dhia/browser-fuzzer/Dissertation/tests/testing_seeds/combined/complex/trigger1.html
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:03][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:04][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][WARNING] mutation-deterministic: Script contains HTML tags, wrapping in CDATA
[01:23:05][INFO] mutation-deterministic: Generated advanced deterministic mutation 2 => /home/dhia/browser-fuzzer/Dissertation/logger/run_20250318_012252/round_001/mutations/mutated_0002.html
